pipeline,accuracy,precision,recall,f1,fpr,tp,fp,tn,fn
Pipeline1_CustomLR,0.7699691731377063,0.6540314136125654,0.42397502036383383,0.514455151964418,0.09046602048080608,3123,1652,16609,4243
Pipeline2_RandomForest,0.919420923245015,0.964592462751972,0.7470811838175401,0.8420166781424527,0.0110618257488637,5503,202,18059,1863
Pipeline3_SklearnLR,0.7835486010847934,0.7137485311398355,0.412299755633994,0.5226744686343688,0.06669952357483161,3037,1218,17043,4329
