pipeline,accuracy,precision,recall,f1,fpr,tp,fp,tn,fn
rule_only,0.7957232606235611,1.0,0.28930219929405376,0.4487732968305781,0.0,2131,0,18261,5235
ml_only,0.919420923245015,0.964592462751972,0.7470811838175401,0.8420166781424527,0.0110618257488637,5503,202,18059,1863
hybrid,0.9196940726577438,0.9646358543417367,0.7480314960629921,0.8426364887597492,0.0110618257488637,5510,202,18059,1856
modsecurity_crs_v4,,,,,,,,,
